subject,session,common_clip_idx,window_start_rel_s,window_end_rel_s,gt_window_start_wall,gt_window_end_wall,window_duration_sec,gt_hr_bpm,video_RAW_YUV420_clip_idx,video_RAW_YUV420_pred_hr_bpm,video_RAW_YUV420_err_bpm,android_311YJP3P3080D200020_clip_idx,android_311YJP3P3080D200020_pred_hr_bpm,android_311YJP3P3080D200020_err_bpm,best_camera_by_err
Alvin,v01,1,0.0,10.018175601959229,1774420679.7899694,1774420689.774862,10.018175601959229,73.21531686878711,1,72.52763505111533,0.6876818176717876,1,47.14520056063329,26.07011630815382,video_RAW_YUV420
Alvin,v01,2,10.401000022888184,20.032145500183105,1774420690.1909695,1774420699.7887893,9.631145477294922,71.74013430928859,2,71.68786585894253,0.05226845034606242,2,69.79716145646289,1.9429728528257044,video_RAW_YUV420
Alvin,v01,3,20.699000120162964,30.065045833587646,1774420700.4889696,1774420709.8216841,9.366045713424683,71.05826576799832,3,69.41449335277979,1.6437724152185353,3,109.26290416869377,38.204638400695444,video_RAW_YUV420
Alvin,v01,4,30.801000118255615,40.08258080482483,1774420710.5909696,1774420719.8391633,9.281580686569214,76.31827748556235,4,76.15888815829969,0.15938932726265875,4,77.62156624100302,1.3032887554406756,video_RAW_YUV420
Alvin,v01,5,40.99900007247925,50.11652183532715,1774420720.7889695,1774420729.8732157,9.1175217628479,78.19749180540727,5,79.47081092057095,1.2733191151636873,5,83.33723508377437,5.139743278367106,video_RAW_YUV420
Audrey,v01,1,0.0,10.016085863113403,1774419534.0627322,1774419544.0454311,10.016085863113403,89.81295984157265,1,49.80816976156392,40.00479008000873,1,83.59272675448999,6.220233087082661,android_311YJP3P3080D200020
Audrey,v01,2,10.633999824523926,20.051023960113525,1774419544.696732,1774419554.0804806,9.4170241355896,87.50021436032688,2,85.33317544971612,2.1670389106107564,2,91.58176519340125,4.081550833074374,video_RAW_YUV420
Audrey,v01,3,20.997999906539917,30.068092823028564,1774419555.0607321,1774419564.097479,9.070092916488647,87.45797458162617,3,86.45439910237643,1.003575479249747,3,87.09729737142244,0.36067721020373256,android_311YJP3P3080D200020
Audrey,v01,4,31.292999982833862,40.09592914581299,1774419565.3557322,1774419574.1253169,8.802929162979126,88.64857975357906,4,88.11368631218932,0.534893441389741,4,89.1117497360855,0.46316998250644303,android_311YJP3P3080D200020
Audrey,v01,5,41.62399983406067,50.115665435791016,1774419575.686732,1774419584.145097,8.491665601730347,90.83260460390733,5,92.05498172086065,1.222377116953325,5,111.48908513218014,20.65648052827281,video_RAW_YUV420
