timestamp,bvp
1774419534.019846,30
1774419534.0364754,28
1774419534.053123,26
1774419534.0698724,25
1774419534.0865057,23
1774419534.1031358,22
1774419534.1198843,22
1774419534.1364427,25
1774419534.153149,30
1774419534.169887,37
1774419534.1864824,43
1774419534.2031155,51
1774419534.2198238,57
1774419534.2364645,61
1774419534.253994,61
1774419534.2703671,60
1774419534.286822,59
1774419534.304491,56
1774419534.320453,54
1774419534.3379812,52
1774419534.3557565,50
1774419534.3703606,49
1774419534.3869877,48
1774419534.4031882,47
1774419534.4201686,47
1774419534.4366677,47
1774419534.4536831,47
1774419534.4704852,48
1774419534.4871671,48
1774419534.5039074,48
1774419534.5202787,48
1774419534.5371225,47
1774419534.5536776,46
1774419534.570335,44
1774419534.5872068,43
1774419534.603146,41
1774419534.6200502,40
1774419534.6367254,37
1774419534.653425,35
1774419534.6701744,33
1774419534.6869218,31
1774419534.703775,29
1774419534.7202396,28
1774419534.7370071,26
1774419534.7535338,28
1774419534.7702098,32
1774419534.7951496,38
1774419534.8118665,45
1774419534.8231611,53
1774419534.8390052,61
1774419534.85927,66
1774419534.871981,68
1774419534.8986478,67
1774419534.9066527,65
1774419534.9227252,62
1774419534.9389672,58
1774419534.9648573,55
1774419534.971034,51
1774419534.9872313,48
1774419535.0070944,45
1774419535.0198252,42
1774419535.0365756,40
1774419535.053589,38
1774419535.0701475,37
1774419535.0866807,36
1774419535.1083677,36
1774419535.1198626,36
1774419535.1367626,36
1774419535.1540837,36
1774419535.1777675,36
1774419535.187087,36
1774419535.203871,35
1774419535.2246788,34
1774419535.2408943,33
1774419535.2541306,31
1774419535.2720504,30
1774419535.2887712,29
1774419535.305839,28
1774419535.3210766,27
1774419535.3375633,27
1774419535.3548467,29
1774419535.3702643,34
1774419535.3897498,40
1774419535.4052527,47
1774419535.4252055,54
1774419535.4393644,61
1774419535.464424,65
1774419535.4721441,67
1774419535.4941356,66
1774419535.5042968,63
1774419535.520736,60
1774419535.5387337,57
1774419535.5540848,54
1774419535.573452,52
1774419535.5899138,50
1774419535.605137,49
1774419535.6229358,48
1774419535.640824,48
1774419535.6570432,48
1774419535.671258,47
1774419535.689062,47
1774419535.7037432,46
1774419535.72017,44
1774419535.7391317,42
1774419535.7574697,40
1774419535.7746196,39
1774419535.795312,37
1774419535.8133976,35
1774419535.8210733,34
1774419535.8455284,32
1774419535.856452,30
1774419535.8784587,28
1774419535.8893263,26
1774419535.9118524,25
1774419535.9284236,27
1774419535.9456563,31
1774419535.9570909,38
1774419535.9760163,45
1774419535.9918547,53
1774419536.0080054,60
1774419536.0239623,65
1774419536.0366843,67
1774419536.0539067,67
1774419536.0698216,65
1774419536.0927844,62
1774419536.103258,59
1774419536.1285582,56
1774419536.1451905,52
1774419536.160557,49
1774419536.1786494,47
1774419536.186358,44
1774419536.2052162,42
1774419536.2283854,40
1774419536.2375178,40
1774419536.253038,39
1774419536.272106,39
1774419536.2937415,38
1774419536.308971,37
1774419536.330258,35
1774419536.3419752,33
1774419536.361995,31
1774419536.3771763,29
1774419536.3887048,27
1774419536.4050076,24
1774419536.4204476,22
1774419536.437693,19
1774419536.4621148,17
1774419536.4738116,18
1774419536.496028,20
1774419536.5050845,25
1774419536.5302262,32
1774419536.537862,40
1774419536.564281,46
1774419536.578644,51
1774419536.5903192,54
1774419536.6116595,53
1774419536.6232116,51
1774419536.63887,48
1774419536.656362,45
1774419536.6712914,41
1774419536.6900408,40
1774419536.7063057,37
1774419536.7289436,35
1774419536.7451415,34
1774419536.761773,33
1774419536.7776742,33
1774419536.7899315,33
1774419536.8100057,34
1774419536.8289194,34
1774419536.8419187,35
1774419536.8628042,34
1774419536.8744617,34
1774419536.8948085,33
1774419536.910519,32
1774419536.921228,31
1774419536.9369192,30
1774419536.953509,29
1774419536.9702427,29
1774419536.9869697,28
1774419537.0066686,27
1774419537.0199263,27
1774419537.0371995,29
1774419537.0536711,34
1774419537.072406,40
1774419537.0868838,46
1774419537.1118426,54
1774419537.1272275,61
1774419537.1381764,66
1774419537.1583633,68
1774419537.1756957,68
1774419537.1876416,66
1774419537.2070274,64
1774419537.2289338,61
1774419537.2417789,58
1774419537.2546146,55
1774419537.2700794,52
1774419537.28807,51
1774419537.305288,49
1774419537.3282385,47
1774419537.338311,46
1774419537.354613,45
1774419537.3729615,44
1774419537.3892808,42
1774419537.4052322,42
1774419537.4196362,41
1774419537.4371152,40
1774419537.4546902,39
1774419537.4788103,37
1774419537.4912298,35
1774419537.5138524,33
1774419537.5284169,31
1774419537.5489037,29
1774419537.5578372,28
1774419537.5719247,26
1774419537.59502,25
1774419537.609824,24
1774419537.6234305,25
1774419537.6409276,29
1774419537.658952,34
1774419537.6708148,40
1774419537.6930416,47
1774419537.7089963,54
1774419537.7213788,59
1774419537.740972,62
1774419537.7538767,62
1774419537.7729971,60
1774419537.7863402,57
1774419537.8040807,55
1774419537.8201098,52
1774419537.8390977,50
1774419537.8578312,48
1774419537.8824458,46
1774419537.8950305,44
1774419537.9139109,43
1774419537.9287102,42
1774419537.9452484,41
1774419537.9597504,40
1774419537.9778337,40
1774419537.9960654,40
1774419538.0110545,39
1774419538.0274572,38
1774419538.0383208,37
1774419538.053665,35
1774419538.0792563,33
1774419538.0911057,31
1774419538.1071215,30
1774419538.1231139,28
1774419538.1391094,27
1774419538.155135,25
1774419538.172037,24
1774419538.1871996,23
1774419538.2031553,22
1774419538.2233639,22
1774419538.2458146,24
1774419538.2619708,28
1774419538.2783272,33
1774419538.2950623,40
1774419538.3123991,46
1774419538.3286643,52
1774419538.3456259,56
1774419538.353777,58
1774419538.3783443,57
1774419538.3955066,56
1774419538.4110308,53
1774419538.4269416,51
1774419538.438779,48
1774419538.4546883,46
1774419538.4783227,44
1774419538.4900928,42
1774419538.5061224,41
1774419538.5219119,40
1774419538.5450532,39
1774419538.5537379,39
1774419538.5703523,38
1774419538.5862277,37
1774419538.6177194,37
1774419538.6200564,36
1774419538.6489468,35
1774419538.6619234,34
1774419538.6818252,32
