timestamp,bvp
1774410103.6076174,44
1774410103.6242971,41
1774410103.6409972,40
1774410103.6576023,37
1774410103.674263,34
1774410103.6909597,31
1774410103.70761,29
1774410103.7242892,27
1774410103.7409198,25
1774410103.757585,24
1774410103.7743318,22
1774410103.7909424,21
1774410103.807593,20
1774410103.8242745,19
1774410103.8409247,18
1774410103.8580546,17
1774410103.8754544,17
1774410103.8916097,19
1774410103.9077518,24
1774410103.9248574,31
1774410103.9437475,40
1774410103.959442,51
1774410103.9746017,62
1774410103.9914844,71
1774410104.0081692,76
1774410104.0246944,78
1774410104.0409188,77
1774410104.0579188,75
1774410104.0745842,71
1774410104.0913966,67
1774410104.1080694,62
1774410104.1245956,58
1774410104.1412494,55
1774410104.157838,52
1774410104.1745155,50
1774410104.19126,49
1774410104.2081878,48
1774410104.224573,49
1774410104.2412877,49
1774410104.2578242,49
1774410104.2745554,48
1774410104.2911716,47
1774410104.3081264,45
1774410104.3246548,42
1774410104.341826,40
1774410104.3581703,37
1774410104.3747854,33
1774410104.391283,28
1774410104.4082093,23
1774410104.4247632,17
1774410104.4409359,10
1774410104.4578736,3
1774410104.6749086,6
1774410104.6924114,13
1774410104.7077124,17
1774410104.725346,17
1774410104.741151,15
1774410104.757941,11
1774410104.7748888,6
1774410104.7913978,2
1774410104.8745456,3
1774410104.8921998,8
1774410104.908125,14
1774410104.9254515,19
1774410104.9414833,22
1774410104.9578304,24
1774410104.97462,25
1774410104.9914277,24
1774410105.0078835,21
1774410105.0309258,18
1774410105.0478046,15
1774410105.0637429,13
1774410105.0802953,11
1774410105.09651,9
1774410105.1129634,8
1774410105.1269736,6
1774410105.1439402,6
1774410105.1635416,5
1774410105.1797054,5
1774410105.193688,4
1774410105.2124362,4
1774410105.2325723,5
1774410105.244295,10
1774410105.2576032,18
1774410105.2808197,27
1774410105.2923596,39
1774410105.3097308,49
1774410105.3335905,59
1774410105.34719,65
1774410105.3633347,67
1774410105.3786268,67
1774410105.3959315,65
1774410105.414415,62
1774410105.4294746,59
1774410105.4471445,56
1774410105.4580874,54
1774410105.4804492,52
1774410105.4993765,51
1774410105.5132873,51
1774410105.5279536,52
1774410105.544452,53
1774410105.5575438,54
1774410105.5785441,55
1774410105.595232,56
1774410105.608168,55
1774410105.6302414,54
1774410105.6415696,52
1774410105.6602926,50
1774410105.6808014,48
1774410105.6908362,46
1774410105.7205188,44
1774410105.7300775,42
1774410105.7542436,40
1774410105.7596905,40
1774410105.7767153,39
1774410105.7932105,38
1774410105.8124928,36
1774410105.8280854,35
1774410105.8477309,34
1774410105.864165,33
1774410105.8807483,32
1774410105.8928149,33
1774410105.910614,35
1774410105.928914,41
1774410105.9431102,49
1774410105.9586582,59
1774410105.9769738,70
1774410105.9928315,80
1774410106.0081964,87
1774410106.024998,90
1774410106.0447152,90
1774410106.0575895,88
1774410106.075105,83
1774410106.0909128,78
1774410106.1141639,74
1774410106.127423,69
1774410106.1430218,66
1774410106.164171,63
1774410106.1793404,61
1774410106.1967065,60
1774410106.2092345,59
1774410106.2244303,59
1774410106.2478921,60
1774410106.2649539,60
1774410106.2799375,59
1774410106.2956219,58
1774410106.3085685,55
1774410106.325943,53
1774410106.3449297,50
1774410106.3608987,47
1774410106.3761022,43
1774410106.3914669,40
1774410106.408782,39
1774410106.4263182,36
1774410106.4480915,33
1774410106.4580386,31
1774410106.4771812,30
1774410106.5020602,28
1774410106.5105498,27
1774410106.5315812,25
1774410106.5410469,24
1774410106.5648658,23
1774410106.5780702,22
1774410106.5968819,21
1774410106.6095486,22
1774410106.6300519,27
1774410106.6466665,34
1774410106.65783,42
1774410106.6780453,53
1774410106.6938424,63
1774410106.7092562,71
1774410106.7253065,76
1774410106.7412395,77
1774410106.7575216,75
1774410106.776033,71
1774410106.7920947,66
1774410106.8149595,61
1774410106.8251743,57
1774410106.8480773,53
1774410106.859206,50
1774410106.8763735,48
1774410106.893102,46
1774410106.9143133,46
1774410106.9263818,46
1774410106.9473567,46
1774410106.9634614,47
1774410106.9807768,47
1774410106.9943907,46
1774410107.0106757,45
1774410107.0263693,43
1774410107.0466917,40
1774410107.0633104,38
1774410107.0793777,35
1774410107.1013846,32
1774410107.116225,30
1774410107.1350772,28
1774410107.1475518,25
1774410107.1643803,23
1774410107.180676,22
1774410107.1947005,20
1774410107.2115765,19
1774410107.2264552,18
1774410107.2472553,17
1774410107.2581265,16
1774410107.2754593,15
1774410107.2907405,14
1774410107.308978,13
1774410107.3287785,12
1774410107.3420753,12
1774410107.3640814,12
1774410107.3810527,15
1774410107.3942714,21
1774410107.4142995,30
1774410107.4242325,40
1774410107.4467278,51
1774410107.4640222,60
1774410107.4803112,67
1774410107.4966848,70
1774410107.5143552,70
1774410107.5285463,66
1774410107.5463047,62
1774410107.5606167,57
1774410107.581878,53
1774410107.592465,48
1774410107.6139956,44
1774410107.6260219,42
1774410107.6472676,40
1774410107.6574337,40
1774410107.686123,40
1774410107.6932092,40
1774410107.7137494,40
1774410107.7268176,41
1774410107.7476912,40
1774410107.7586794,40
1774410107.7745888,39
1774410107.7912312,37
1774410107.8086877,34
1774410107.8250778,32
1774410107.846372,29
1774410107.8650148,26
1774410107.8804836,24
1774410107.8934817,21
1774410107.911159,20
1774410107.925147,18
1774410107.9456367,17
1774410107.9606388,15
1774410107.980769,14
1774410107.9927201,13
1774410108.0132813,12
1774410108.0248141,12
1774410108.044394,11
1774410108.0633595,10
1774410108.0779846,9
1774410108.0940988,9
1774410108.1138933,10
1774410108.1261353,13
1774410108.1473138,19
1774410108.1581497,28
1774410108.1809978,38
1774410108.1981738,48
1774410108.2085752,57
1774410108.230001,63
1774410108.2479546,65
1774410108.2633348,64
1774410108.280055,60
1774410108.2970126,55
1774410108.3083253,50
1774410108.3289354,45
1774410108.3476174,41
1774410108.3584754,38
1774410108.3813043,36
1774410108.3931758,35
1774410108.412703,35
1774410108.428449,35
1774410108.4460368,36
1774410108.4610379,38
1774410108.4748616,39
1774410108.4906654,39
1774410108.507938,38
1774410108.5241163,36
1774410108.541261,34
1774410108.5573182,31
1774410108.58,28
1774410108.6044638,25
1774410108.6139452,23
1774410108.6301577,21
1774410108.6468186,19
1774410108.6645968,17
1774410108.67741,16
1774410108.6964724,15
1774410108.7144587,14
1774410108.7254522,13
1774410108.7484562,13
1774410108.7576778,12
1774410108.774536,12
1774410108.7963867,11
1774410108.812433,11
1774410108.8268905,11
1774410108.847508,14
1774410108.8573208,20
1774410108.8757644,28
1774410108.898105,38
1774410108.910139,47
1774410108.9269083,57
1774410108.9473948,63
1774410108.9596622,65
1774410108.9873533,65
1774410108.998801,61
1774410109.0122743,56
1774410109.0304158,51
1774410109.0466802,45
1774410109.0644593,40
1774410109.0807533,37
1774410109.0925617,35
1774410109.1140294,33
1774410109.1288228,33
1774410109.145563,33
1774410109.1603465,35
1774410109.1789293,36
1774410109.1950986,37
1774410109.2108166,38
1774410109.224537,37
1774410109.242437,36
1774410109.2573242,34
1774410109.2792003,32
1774410109.2906194,29
1774410109.3155758,27
1774410109.328929,24
1774410109.3473525,22
1774410109.3611445,20
1774410109.3804638,19
1774410109.3966928,17
1774410109.4124331,16
1774410109.42751,15
1774410109.4466677,14
1774410109.45971,14
1774410109.4796526,13
1774410109.4964461,12
1774410109.513154,12
1774410109.5289948,11
1774410109.5450208,12
1774410109.5610418,14
1774410109.578725,19
1774410109.5929196,28
1774410109.6098516,38
1774410109.6251495,48
1774410109.643459,59
1774410109.6572855,68
1774410109.6757028,72
1774410109.6966727,73
1774410109.7075744,70
1774410109.7314925,66
1774410109.7456875,60
1774410109.7574615,55
1774410109.7749515,50
1774410109.7966216,46
1774410109.808268,43
1774410109.8300552,40
1774410109.8474371,40
1774410109.8632548,40
1774410109.8799171,40
1774410109.8964155,41
1774410109.9078054,42
1774410109.929016,42
1774410109.9448898,42
1774410109.9608767,41
1774410109.976827,40
1774410109.9931326,38
1774410110.008701,35
1774410110.0249698,33
1774410110.041771,30
1774410110.0572326,28
1774410110.0799828,26
1774410110.0923946,24
1774410110.114027,22
1774410110.125846,21
1774410110.143972,20
1774410110.1605194,19
1774410110.176515,18
1774410110.1949034,17
1774410110.2102058,17
1774410110.229974,16
1774410110.2465682,16
1774410110.2628596,15
1774410110.2786045,15
1774410110.2935019,15
1774410110.3108952,19
1774410110.3242521,26
1774410110.3432775,35
1774410110.3589962,45
1774410110.3745492,56
1774410110.3938158,66
1774410110.4171572,72
1774410110.4276187,75
1774410110.4478822,74
1774410110.4600754,70
1774410110.478407,65
1774410110.4905622,59
1774410110.510291,54
1774410110.5319562,49
1774410110.5412567,45
1774410110.5607343,43
1774410110.5800402,41
1774410110.600274,41
1774410110.6083815,42
1774410110.629985,43
1774410110.6460173,44
1774410110.6620517,45
1774410110.6799824,46
1774410110.6959405,45
1774410110.7100384,44
1774410110.728767,41
1774410110.7426083,40
1774410110.7580864,37
1774410110.7742786,34
1774410110.792332,32
1774410110.8131485,30
1774410110.8284595,28
1774410110.8476028,26
1774410110.862882,25
1774410110.8755677,23
1774410110.8966503,22
1774410110.9116306,21
1774410110.9302313,21
1774410110.946719,20
1774410110.957828,20
1774410110.980011,19
1774410110.9913251,18
1774410111.014194,17
1774410111.0284467,17
1774410111.0466514,16
1774410111.0605648,18
1774410111.076676,23
1774410111.0966105,31
1774410111.1085267,40
1774410111.1252244,51
1774410111.1406488,62
1774410111.160655,71
1774410111.1810775,76
1774410111.1958463,77
1774410111.217471,75
1774410111.2249959,70
1774410111.2475042,65
1774410111.2576118,59
1774410111.2816684,53
1774410111.2981372,49
1774410111.3147912,46
1774410111.331666,43
1774410111.3412347,43
1774410111.3631027,43
1774410111.3794682,44
1774410111.397315,45
1774410111.4096763,47
1774410111.4306927,47
1774410111.4439738,47
1774410111.4619033,46
1774410111.4751122,45
1774410111.4932818,42
1774410111.5074322,40
1774410111.5277212,38
1774410111.5475607,35
1774410111.5611036,33
1774410111.5777242,30
1774410111.5926178,28
1774410111.6140418,27
1774410111.6258006,25
1774410111.6432996,24
1774410111.65716,23
1774410111.6801643,22
1774410111.6965628,21
1774410111.71333,21
1774410111.7299576,20
1774410111.7465081,19
1774410111.7609684,19
1774410111.7764227,18
1774410111.792217,18
1774410111.81075,20
1774410111.8286724,24
1774410111.842859,32
1774410111.8585808,40
1774410111.8807883,51
1774410111.8906813,62
1774410111.915152,70
1774410111.928606,74
1774410111.9466944,74
1774410111.9609494,72
1774410111.980605,67
1774410111.9924202,61
1774410112.0075445,55
1774410112.024457,50
1774410112.047687,45
1774410112.0571601,42
1774410112.07522,40
1774410112.091817,40
1774410112.1099102,40
1774410112.1275775,42
1774410112.1431131,44
1774410112.160148,45
1774410112.1761613,46
1774410112.1952596,46
1774410112.213348,45
1774410112.2243495,43
1774410112.241295,41
1774410112.2640054,39
1774410112.277206,36
1774410112.2975264,33
1774410112.3103354,31
1774410112.3290145,29
1774410112.3479826,27
1774410112.3619654,25
1774410112.3843293,24
1774410112.3938649,23
1774410112.4116626,22
1774410112.4264596,22
1774410112.4477994,21
1774410112.4641814,21
1774410112.4799564,20
1774410112.4965944,20
1774410112.5123034,19
1774410112.5309093,19
1774410112.5536776,20
1774410112.5605323,24
1774410112.577451,31
1774410112.592409,40
1774410112.609,49
1774410112.6309648,60
1774410112.653153,68
1774410112.659223,73
1774410112.6786227,74
1774410112.6962464,72
1774410112.7140322,68
1774410112.7301145,62
1774410112.7526479,56
1774410112.7584267,51
1774410112.776699,46
1774410112.792369,43
1774410112.811041,41
1774410112.830112,40
1774410112.8406315,41
1774410112.863307,42
1774410112.873785,45
1774410112.8963594,46
1774410112.9133663,47
1774410112.9268825,48
1774410112.9450207,47
1774410112.959695,45
1774410112.9807649,43
1774410112.9932578,40
1774410113.0112824,38
1774410113.0306008,35
1774410113.046635,33
1774410113.0585146,32
1774410113.0801356,31
1774410113.0915265,30
1774410113.1147065,29
1774410113.1285179,28
1774410113.1501338,28
1774410113.1660924,27
1774410113.1750672,26
1774410113.192576,25
1774410113.2130635,25
1774410113.2259862,24
1774410113.2436185,24
1774410113.259196,23
1774410113.273822,25
1774410113.2927954,29
1774410113.310298,36
1774410113.3251042,45
1774410113.3466291,56
1774410113.3618567,66
1774410113.381462,74
1774410113.3962455,79
1774410113.412451,80
1774410113.425663,78
1774410113.4466617,74
1774410113.4580402,68
1774410113.4800239,63
1774410113.4962378,57
1774410113.507422,53
1774410113.5308616,50
1774410113.5470679,48
1774410113.562727,47
1774410113.5786607,48
1774410113.596825,50
1774410113.6096733,52
1774410113.625504,53
1774410113.6409314,54
1774410113.6590488,54
1774410113.674464,53
1774410113.6972072,51
1774410113.7070787,48
1774410113.73423,45
1774410113.7470486,42
1774410113.7586713,40
1774410113.7757814,38
1774410113.7965703,36
1774410113.8084302,34
1774410113.833232,33
1774410113.8416476,32
1774410113.8633375,31
1774410113.88128,30
1774410113.8946328,30
1774410113.9133193,29
1774410113.9292028,29
1774410113.9474657,28
1774410113.9629586,27
1774410113.9769418,27
1774410113.9972262,28
1774410114.008431,32
1774410114.0254028,39
1774410114.0404618,47
1774410114.0642145,57
1774410114.0737064,68
1774410114.0962532,76
1774410114.1070797,82
1774410114.1371682,83
1774410114.146656,81
1774410114.1682947,77
1774410114.1800008,72
1774410114.1981268,67
1774410114.2163315,62
1774410114.2293777,58
1774410114.2459018,55
1774410114.2639463,53
1774410114.2811716,52
1774410114.2964385,53
1774410114.3110423,54
1774410114.3291316,56
1774410114.345255,57
1774410114.3663921,58
1774410114.3759336,57
1774410114.3966856,56
1774410114.4074373,54
1774410114.430526,51
1774410114.4415658,48
1774410114.4638891,45
1774410114.4771886,43
1774410114.4972897,40
1774410114.5134223,39
1774410114.5306342,37
1774410114.5448365,36
1774410114.563997,34
1774410114.5800836,33
1774410114.595702,33
1774410114.611427,32
1774410114.628721,31
1774410114.6474693,30
1774410114.663739,30
1774410114.679797,29
1774410114.6950388,29
1774410114.7121632,31
1774410114.7277596,35
1774410114.7472558,42
1774410114.7597785,51
1774410114.7761211,62
1774410114.7918432,71
1774410114.8124654,79
1774410114.8276587,82
1774410114.8405306,82
1774410114.8617752,79
1774410114.8737051,75
1774410114.897586,70
1774410114.9079266,64
1774410114.9238803,60
1774410114.9456878,56
1774410114.970504,54
1774410114.9796772,53
1774410114.9951525,53
1774410115.0132542,54
1774410115.029234,56
1774410115.0452302,57
1774410115.061795,58
1774410115.0774357,59
1774410115.0953948,58
1774410115.111936,56
1774410115.1275792,53
1774410115.1407008,50
1774410115.1581404,48
1774410115.1754284,45
1774410115.190343,42
1774410115.2085955,40
1774410115.2306025,39
1774410115.2430642,37
1774410115.2624588,36
1774410115.2743762,35
1774410115.299802,34
1774410115.3123255,33
1774410115.3308637,33
1774410115.344358,32
1774410115.3640192,31
1774410115.380743,30
1774410115.3939333,31
1774410115.40847,34
1774410115.4300923,40
1774410115.443007,48
1774410115.459146,58
1774410115.4742012,69
1774410115.4913638,78
1774410115.5124352,84
1774410115.528253,86
1774410115.5474524,86
1774410115.5650563,82
1774410115.5763905,77
1774410115.5972633,72
1774410115.6085005,67
1774410115.6261253,63
1774410115.640814,60
1774410115.6612093,57
1774410115.6758797,56
1774410115.6973088,57
1774410115.7080696,58
1774410115.7261186,59
1774410115.7422104,61
1774410115.7623012,61
1774410115.7770066,61
1774410115.7930226,60
1774410115.8117995,58
1774410115.8299541,55
1774410115.8438952,51
1774410115.8640652,48
1774410115.8780093,45
1774410115.8908875,42
1774410115.909768,40
1774410115.9291823,39
1774410115.949212,37
1774410115.9611392,36
1774410115.9755971,35
1774410115.9982965,34
1774410116.0114763,33
1774410116.029979,32
1774410116.040868,32
1774410116.0639172,31
1774410116.0740805,30
1774410116.0964205,29
1774410116.1093946,30
1774410116.1293294,33
1774410116.1466527,39
1774410116.1632967,47
1774410116.1778378,58
1774410116.1924982,70
1774410116.2082677,81
1774410116.2242577,89
1774410116.2404675,93
1774410116.267265,93
1774410116.285464,90
1774410116.297444,85
1774410116.3124833,81
1774410116.3309355,76
1774410116.3445127,72
1774410116.364622,69
1774410116.3788052,67
1774410116.3966892,65
1774410116.4086967,65
1774410116.430576,65
1774410116.4413602,65
1774410116.46335,65
1774410116.473973,66
1774410116.4959424,65
1774410116.511801,64
1774410116.5277991,61
1774410116.5402606,59
1774410116.5598423,55
1774410116.5758593,52
1774410116.591872,49
1774410116.6121511,46
1774410116.6301258,43
1774410116.6466715,41
1774410116.6597567,40
1774410116.679894,38
1774410116.6967232,36
1774410116.7124982,35
1774410116.7310326,34
1774410116.7418985,33
1774410116.759107,32
1774410116.7759871,31
1774410116.7989047,30
1774410116.809624,29
1774410116.825978,28
1774410116.8405726,27
1774410116.8628023,26
1774410116.8788614,27
1774410116.8948934,31
1774410116.9110625,38
1774410116.9278326,47
1774410116.9447682,59
1774410116.9639614,72
1774410116.9752212,82
1774410116.9909446,90
1774410117.0121195,93
1774410117.023736,93
1774410117.0402946,90
1774410117.070202,86
1774410117.0807974,82
1774410117.0974898,77
1774410117.1095116,74
1774410117.1300092,71
1774410117.1447756,68
1774410117.1633594,67
1774410117.1771874,66
1774410117.1923356,65
1774410117.208061,65
1774410117.2310708,65
1774410117.2403822,65
1774410117.2629192,64
1774410117.2768831,62
1774410117.297215,60
1774410117.3111281,57
