timestamp,bvp
1774421202.6776206,50
1774421202.6942656,48
1774421202.710935,47
1774421202.7276335,46
1774421202.7442515,45
1774421202.7609162,44
1774421202.77888,43
1774421202.7942717,41
1774421202.8109384,40
1774421202.8276277,38
1774421202.844251,35
1774421202.8609507,33
1774421202.8776548,32
1774421202.8942764,30
1774421202.9109418,29
1774421202.927701,27
1774421202.9443579,26
1774421202.9615867,25
1774421202.9794016,24
1774421202.9945571,24
1774421203.0115626,23
1774421203.0283065,22
1774421203.0450647,21
1774421203.06098,20
1774421203.078418,19
1774421203.0943897,19
1774421203.111836,18
1774421203.1392524,17
1774421203.1460524,19
1774421203.1642308,23
1774421203.1873815,30
1774421203.2008855,38
1774421203.2138588,46
1774421203.2283607,54
1774421203.2448604,60
1774421203.2615206,63
1774421203.2786467,63
1774421203.2944179,62
1774421203.3113093,60
1774421203.3278654,59
1774421203.3449235,57
1774421203.361114,55
1774421203.378416,54
1774421203.3946502,52
1774421203.4195013,51
1774421203.4276278,49
1774421203.456748,48
1774421203.4609544,46
1774421203.4899156,46
1774421203.5029097,45
1774421203.521958,44
1774421203.5379438,43
1774421203.5469887,42
1774421203.5670352,41
1774421203.5781345,40
1774421203.6003697,38
1774421203.6159883,36
1774421203.6360118,35
1774421203.6479526,33
1774421203.664308,31
1774421203.6829116,30
1774421203.6962016,29
1774421203.711504,28
1774421203.728483,27
1774421203.7452743,26
1774421203.7629223,25
1774421203.77837,24
1774421203.7970934,23
1774421203.8134105,23
1774421203.829488,22
1774421203.8450096,21
1774421203.8611283,20
1774421203.8778253,21
1774421203.9020023,24
1774421203.9118814,30
1774421203.9290988,37
1774421203.9448383,44
1774421203.9626718,52
1774421203.9790154,58
1774421203.9963725,62
1774421204.0146973,63
1774421204.0299983,62
1774421204.0456746,61
1774421204.062028,59
1774421204.078582,57
1774421204.096947,55
1774421204.1109397,54
1774421204.1282203,52
1774421204.1476235,51
1774421204.166085,49
1774421204.178294,48
1774421204.1971748,47
1774421204.2152748,46
1774421204.2279844,45
1774421204.2455626,45
1774421204.2609775,44
1774421204.2790406,42
1774421204.2975752,41
1774421204.3137093,40
1774421204.3279731,39
1774421204.353794,37
1774421204.3721502,35
1774421204.3780258,33
1774421204.3941789,31
1774421204.4221504,29
1774421204.4374738,28
1774421204.451534,26
1774421204.4648025,25
1774421204.4790661,24
1774421204.4967482,23
1774421204.5126157,22
1774421204.533751,21
1774421204.552742,20
1774421204.5640826,19
1774421204.579408,19
1774421204.5955386,18
1774421204.6128933,18
1774421204.6284935,19
1774421204.647955,24
1774421204.660846,31
1774421204.6798663,39
1774421204.6959195,47
1774421204.7111485,55
1774421204.7334287,61
1774421204.7450404,64
1774421204.7704751,65
1774421204.78794,64
1774421204.8033168,62
1774421204.81659,61
1774421204.842379,60
1774421204.8487077,58
1774421204.8621635,57
1774421204.8779237,55
1774421204.9030766,54
1774421204.9169452,52
1774421204.9279416,50
1774421204.9557562,49
1774421204.9613197,48
1774421204.9780366,47
1774421204.9972131,46
1774421205.0140975,45
1774421205.0279844,44
1774421205.0471425,42
1774421205.0709925,41
1774421205.0775592,40
1774421205.1032863,38
1774421205.112674,36
1774421205.127577,34
1774421205.1530213,32
1774421205.1731505,30
1774421205.1890397,29
1774421205.2027857,28
1774421205.2162817,26
1774421205.2322476,25
1774421205.2473955,25
1774421205.2620752,24
1774421205.2837281,23
1774421205.3021085,22
1774421205.315695,21
1774421205.3299904,20
1774421205.348438,19
1774421205.362732,18
1774421205.3788226,17
1774421205.3950384,17
1774421205.4165273,17
1774421205.428559,21
1774421205.4474418,28
1774421205.4608128,36
1774421205.480918,44
1774421205.5027423,53
1774421205.517218,60
1774421205.536599,65
1774421205.5528164,66
1774421205.5677276,65
1774421205.5843337,64
1774421205.5999336,63
1774421205.615716,62
1774421205.628544,60
1774421205.6477778,59
1774421205.6640718,58
1774421205.6803868,56
1774421205.6943002,55
1774421205.7117372,53
1774421205.7316957,52
1774421205.7500737,50
1774421205.7620099,49
1774421205.7833943,48
1774421205.7973366,47
1774421205.8112926,46
1774421205.834499,45
1774421205.8498569,43
1774421205.8616545,41
1774421205.8853729,40
1774421205.8984334,38
1774421205.917443,36
1774421205.932312,35
1774421205.949432,33
1774421205.9648254,31
1774421205.9901085,30
1774421205.997212,28
1774421206.0129235,27
1774421206.0286438,26
1774421206.0446937,25
1774421206.0751398,24
1774421206.0895653,23
1774421206.103379,22
1774421206.118062,21
1774421206.1327014,20
1774421206.1562443,19
1774421206.1679456,18
1774421206.1775994,17
1774421206.1964056,16
1774421206.2123084,16
1774421206.2306025,17
1774421206.2445614,21
1774421206.260784,28
1774421206.280449,36
1774421206.294642,44
1774421206.3127167,53
1774421206.3325212,60
