timestamp,bvp
1774421695.567127,39
1774421695.5837498,38
1774421695.6004758,37
1774421695.6170616,37
1774421695.633687,37
1774421695.6504245,36
1774421695.6670876,35
1774421695.6836953,33
1774421695.7003977,30
1774421695.7170532,28
1774421695.733719,25
1774421695.7503848,23
1774421695.7670372,20
1774421695.7837074,18
1774421695.800697,16
1774421695.8172421,14
1774421695.8337717,12
1774421695.851925,10
1774421695.8679192,9
1774421695.8852036,8
1774421695.90082,7
1774421695.9175684,6
1774421695.9340572,8
1774421695.9505858,13
1774421695.9676285,20
1774421695.9839547,31
1774421696.002012,41
1774421696.0170543,52
1774421696.0345879,60
1774421696.0504045,66
1774421696.0670855,68
1774421696.0848985,67
1774421696.1021223,65
1774421696.1175687,61
1774421696.1353397,58
1774421696.1509254,54
1774421696.1680653,50
1774421696.184046,46
1774421696.2013884,42
1774421696.2174835,40
1774421696.2378237,38
1774421696.2521193,37
1774421696.2726803,37
1774421696.2898962,37
1774421696.3032093,37
1774421696.3178644,37
1774421696.3376873,36
1774421696.3518584,35
1774421696.374363,33
1774421696.384095,31
1774421696.4081576,29
1774421696.4170892,26
1774421696.4409792,24
1774421696.4510195,21
1774421696.4701965,19
1774421696.4836895,17
1774421696.5020876,15
1774421696.525893,14
1774421696.5418868,12
1774421696.557736,11
1774421696.575227,10
1774421696.5916288,9
1774421696.6039963,11
1774421696.6236532,15
1774421696.6376026,22
1774421696.6556318,32
1774421696.671736,41
1774421696.6893885,52
1774421696.707651,61
1774421696.7186923,66
1774421696.7349608,68
1774421696.7536619,68
1774421696.7712173,65
1774421696.7851112,62
1774421696.8090835,59
1774421696.8227265,55
1774421696.8348155,51
1774421696.8575935,47
1774421696.8717084,44
1774421696.8912845,41
1774421696.909032,40
1774421696.9204116,39
1774421696.9415548,39
1774421696.9575832,39
1774421696.974714,39
1774421696.990859,39
1774421697.0067744,39
1774421697.0241828,37
1774421697.0389974,36
1774421697.0533595,33
1774421697.0718684,31
1774421697.0918362,28
1774421697.1027868,26
1774421697.1243129,24
1774421697.1412246,22
1774421697.1519518,20
1774421697.1778514,18
1774421697.184189,17
1774421697.2077184,15
1774421697.2169473,14
1774421697.2408319,13
1774421697.258278,13
1774421697.2680779,15
1774421697.2918224,21
1774421697.3027492,30
1774421697.3186235,40
1774421697.3377964,50
1774421697.3526115,60
1774421697.3687267,67
1774421697.384785,71
1774421697.4014883,72
1774421697.4219892,71
1774421697.4424996,68
1774421697.457814,65
1774421697.472944,62
1774421697.4914398,58
1774421697.5047362,54
1774421697.524798,50
1774421697.5414736,47
1774421697.5512495,45
1774421697.5772429,43
1774421697.5852373,42
1774421697.60841,42
1774421697.6174824,42
1774421697.6382604,42
1774421697.652859,42
1774421697.6688414,41
1774421697.6835864,40
1774421697.7010653,38
1774421697.71735,36
1774421697.7357101,33
1774421697.7503886,30
1774421697.7672827,28
1774421697.7854245,25
1774421697.8018672,23
1774421697.8190377,21
1774421697.8373353,19
1774421697.851455,18
1774421697.867321,17
1774421697.8839025,15
1774421697.9026332,14
1774421697.919184,14
1774421697.935671,15
1774421697.9525988,19
1774421697.969378,26
1774421697.98409,35
1774421698.0008867,45
1774421698.017025,57
1774421698.035339,67
1774421698.0514355,74
1774421698.0695534,77
1774421698.084996,78
1774421698.1015172,77
1774421698.1175544,75
1774421698.1344795,72
1774421698.157566,69
1774421698.1673145,66
1774421698.185475,62
1774421698.200995,58
1774421698.220702,55
1774421698.2361124,52
1774421698.25272,50
1774421698.2689314,48
1774421698.284507,48
1774421698.3022902,47
1774421698.3190963,46
1774421698.3351355,45
1774421698.3529315,44
1774421698.3707333,42
1774421698.3870165,40
1774421698.4034376,38
1774421698.4242477,35
1774421698.4410465,32
1774421698.457848,29
1774421698.476837,26
1774421698.4909532,24
1774421698.501583,22
1774421698.522477,20
1774421698.5372715,18
1774421698.5568182,17
1774421698.5718596,15
1774421698.590993,14
1774421698.601155,13
1774421698.6239204,13
1774421698.640046,14
1774421698.6561406,19
1774421698.6719544,26
1774421698.6883898,36
1774421698.706166,45
1774421698.7173004,56
1774421698.7383766,65
1774421698.7607734,70
1774421698.767874,72
1774421698.7840605,72
1774421698.810203,71
1774421698.8168557,68
1774421698.8416154,65
1774421698.8568408,62
1774421698.8717747,58
1774421698.8847554,54
1774421698.9020836,51
1774421698.9168751,48
1774421698.9416313,45
1774421698.959449,43
1774421698.9696124,41
1774421698.9875255,41
1774421699.0058832,40
1774421699.0213077,40
1774421699.039515,40
1774421699.0508926,38
1774421699.0689378,36
1774421699.085134,34
1774421699.1004024,31
1774421699.1228302,28
1774421699.1350102,26
1774421699.1542184,23
1774421699.1741161,21
1774421699.1862988,18
1774421699.203417,16
1774421699.2173874,15
1774421699.234285,13
1774421699.2501729,12
1774421699.2742958,11
1774421699.2903166,10
1774421699.300888,9
1774421699.3175778,8
