timestamp,bvp
1774420455.6521952,73
1774420455.668945,71
1774420455.6855834,68
1774420455.7021956,66
1774420455.718928,64
1774420455.7355855,61
1774420455.7522268,58
1774420455.768955,55
1774420455.7855456,52
1774420455.8024755,50
1774420455.8189561,48
1774420455.8355477,47
1774420455.8522267,46
1774420455.8689437,45
1774420455.8855205,44
1774420455.903218,42
1774420455.9243884,40
1774420455.9376264,38
1774420455.9533882,35
1774420455.9695437,33
1774420455.9865506,31
1774420456.0023093,28
1774420456.0199718,26
1774420456.0361943,24
1774420456.0524976,23
1774420456.0693178,21
1774420456.0931954,20
1774420456.1094694,19
1774420456.1202729,17
1774420456.1363003,16
1774420456.153227,15
1774420456.174256,14
1774420456.1874676,13
1774420456.2026346,13
1774420456.220219,15
1774420456.2356708,21
1774420456.252957,29
1774420456.2693846,40
1774420456.2861924,50
1774420456.3027196,62
1774420456.3190832,70
1774420456.336284,75
1774420456.3529813,75
1774420456.3696468,74
1774420456.3857253,71
1774420456.4026258,67
1774420456.4208667,64
1774420456.4363573,61
1774420456.454499,59
1774420456.4725604,56
1774420456.49115,54
1774420456.5058506,51
1774420456.5200355,48
1774420456.5429397,47
1774420456.5547712,46
1774420456.5723765,45
1774420456.588287,45
1774420456.6028519,45
1774420456.6197722,44
1774420456.6364517,42
1774420456.6524358,40
1774420456.670226,39
1774420456.6859133,36
1774420456.7026212,33
1774420456.7199345,30
1774420456.7363203,29
1774420456.752455,27
1774420456.7692442,25
1774420456.78573,22
1774420456.802288,21
1774420456.8211415,19
1774420456.8370538,16
1774420456.8537068,15
1774420456.8696802,14
1774420456.8866503,13
1774420456.9026666,12
1774420456.9227147,10
1774420456.9360404,9
1774420456.9522,7
1774420456.9695034,7
1774420456.9860168,8
1774420457.0027866,13
1774420457.020914,21
1774420457.0361602,32
1774420457.0531855,43
1774420457.0693166,54
1774420457.0866802,64
1774420457.10235,69
1774420457.119906,70
1774420457.1360645,69
1774420457.1530976,65
1774420457.1689897,61
1774420457.1865602,58
1774420457.2021396,55
1774420457.2193506,54
1774420457.2361805,53
1774420457.2525704,51
1774420457.2691092,50
1774420457.2862337,48
1774420457.3025026,46
1774420457.320122,44
1774420457.3357975,43
1774420457.3528657,43
1774420457.369474,42
1774420457.386652,42
1774420457.4030879,41
1774420457.4192708,40
1774420457.4359214,37
1774420457.4527836,35
1774420457.4692883,32
1774420457.4897182,30
1774420457.5030754,28
1774420457.5195153,26
1774420457.5375488,24
1774420457.5531194,23
