timestamp,bvp
1774422769.0742488,27
1774422769.090907,26
1774422769.1075628,24
1774422769.12423,23
1774422769.140888,23
1774422769.1575532,22
1774422769.1742694,21
1774422769.190887,21
1774422769.2075348,20
1774422769.2242541,19
1774422769.240873,19
1774422769.2575588,18
1774422769.2742608,18
1774422769.2908726,17
1774422769.307922,17
1774422769.3248792,18
1774422769.3428814,22
1774422769.3580296,30
1774422769.3749912,39
1774422769.3917575,49
1774422769.4080822,61
1774422769.4245548,70
1774422769.4411275,77
1774422769.4583237,80
1774422769.4747777,80
1774422769.4912734,78
1774422769.508202,75
1774422769.524416,72
1774422769.5417397,70
1774422769.5588431,67
1774422769.5752,65
1774422769.5914493,62
1774422769.6076179,59
1774422769.6245103,56
1774422769.6415646,53
1774422769.6591766,51
1774422769.6755505,49
1774422769.6915078,47
1774422769.7082489,46
1774422769.7245796,45
1774422769.741547,44
1774422769.7583022,43
1774422769.7770128,41
1774422769.793012,40
1774422769.8093336,39
1774422769.8277812,37
1774422769.842984,35
1774422769.863404,33
1774422769.8795655,32
1774422769.8909936,30
1774422769.909841,29
1774422769.9322288,28
1774422769.941347,27
1774422769.958173,26
1774422769.9743009,25
1774422770.004864,24
1774422770.0183747,23
1774422770.036702,23
1774422770.0442705,22
1774422770.0606184,22
1774422770.0777013,21
1774422770.0921228,20
1774422770.1100388,20
1774422770.1265643,19
1774422770.1418033,19
1774422770.1633966,20
1774422770.1751952,25
1774422770.1921895,32
1774422770.2113767,41
1774422770.2266018,51
1774422770.24317,62
1774422770.25855,71
1774422770.275341,77
1774422770.2914891,78
1774422770.3083513,78
1774422770.3263917,75
1774422770.3418815,72
1774422770.3579328,69
1774422770.3743432,66
1774422770.39583,63
1774422770.4074976,61
1774422770.425641,58
1774422770.4444027,55
1774422770.46304,52
1774422770.4748514,50
1774422770.492269,48
1774422770.5077093,46
1774422770.525302,45
1774422770.5422366,44
1774422770.5575552,43
1774422770.5749238,42
1774422770.5914717,41
1774422770.6085198,40
1774422770.6259944,38
1774422770.6416018,36
1774422770.657586,34
1774422770.6751115,32
1774422770.6924174,31
1774422770.7078836,29
1774422770.7247343,28
1774422770.7441318,26
1774422770.7658007,25
1774422770.7742667,24
1774422770.7919395,23
1774422770.8082142,22
1774422770.824674,22
1774422770.8454132,21
1774422770.8620825,20
1774422770.8775823,20
1774422770.89412,19
1774422770.910335,19
1774422770.925972,18
1774422770.9412758,18
1774422770.9600627,17
1774422770.9757757,17
1774422770.9976318,16
1774422771.0096235,16
1774422771.0313635,15
1774422771.0430515,15
1774422771.0592387,17
1774422771.0803216,22
1774422771.0941663,31
1774422771.1108184,40
1774422771.129994,52
1774422771.1425214,64
1774422771.159545,74
1774422771.1745238,80
1774422771.1935437,83
1774422771.2075472,83
1774422771.2260482,81
1774422771.2411518,78
1774422771.2583778,75
1774422771.2749963,73
1774422771.2991176,70
1774422771.3078928,67
1774422771.3358629,64
1774422771.3433616,61
1774422771.3616793,58
1774422771.3823268,55
1774422771.3935788,53
1774422771.4128156,50
1774422771.424277,49
1774422771.4437208,47
1774422771.4619699,46
1774422771.4773502,45
1774422771.4938607,44
1774422771.5076416,42
1774422771.526908,40
1774422771.5418456,39
1774422771.5605557,37
1774422771.5741608,35
1774422771.5926,33
1774422771.6079595,31
1774422771.6250489,30
1774422771.6408849,28
1774422771.6685681,27
1774422771.6748595,26
1774422771.6954494,24
1774422771.7090468,24
1774422771.725328,23
1774422771.7414315,22
1774422771.7583153,21
1774422771.77417,20
1774422771.7912467,20
1774422771.8087525,19
1774422771.8244436,19
1774422771.8414845,18
1774422771.8577504,17
1774422771.8777657,17
1774422771.8941033,16
1774422771.9075103,16
1774422771.928579,15
1774422771.9409096,15
1774422771.9577622,14
1774422771.9743237,14
1774422771.9917405,17
1774422772.0074522,22
1774422772.024515,31
1774422772.0415664,41
1774422772.0594301,53
1774422772.0760226,66
1774422772.0928693,76
1774422772.11629,81
1774422772.127167,84
1774422772.1444428,83
1774422772.1594658,81
1774422772.176107,78
1774422772.1941006,75
1774422772.2089763,72
1774422772.2272694,70
1774422772.242495,67
1774422772.2582264,64
1774422772.2743082,61
1774422772.2908044,58
1774422772.3097606,55
1774422772.33399,52
1774422772.3462725,50
1774422772.3603327,49
1774422772.3785756,48
1774422772.39571,46
1774422772.4089622,45
1774422772.4250443,44
1774422772.450357,42
1774422772.460436,40
1774422772.4808133,39
1774422772.4961567,37
1774422772.5088115,35
1774422772.52827,33
1774422772.5443058,31
1774422772.5575016,29
1774422772.5745006,28
1774422772.590983,26
1774422772.6081085,25
1774422772.6244102,24
1774422772.6475768,23
1774422772.6596448,22
1774422772.6791437,21
1774422772.6990058,20
1774422772.714232,20
1774422772.724322,19
1774422772.7440739,18
1774422772.7606895,18
1774422772.7762923,17
1774422772.797285,17
1774422772.8134565,16
1774422772.829423,16
1774422772.843762,15
1774422772.8649397,15
1774422772.880191,15
1774422772.8949773,18
1774422772.9097736,24
1774422772.9272032,34
1774422772.9422877,44
1774422772.9623516,56
1774422772.9759378,67
1774422773.0015762,76
1774422773.0083003,81
1774422773.0245292,82
1774422773.045569,81
1774422773.0692046,78
1774422773.0790033,75
1774422773.0993881,72
1774422773.1143317,69
1774422773.124464,66
1774422773.1423376,63
1774422773.1632392,61
1774422773.1743696,58
1774422773.192255,55
1774422773.2074046,53
1774422773.2272892,51
1774422773.2434149,49
1774422773.2593138,48
1774422773.2773726,47
1774422773.291451,46
1774422773.3076513,45
1774422773.3312023,44
1774422773.3420029,42
1774422773.3586547,40
1774422773.375795,39
1774422773.3917778,37
1774422773.408607,35
1774422773.4253879,33
1774422773.4416525,31
1774422773.4643295,29
1774422773.4793954,28
1774422773.4926763,27
1774422773.5104756,25
1774422773.5260923,25
1774422773.541619,24
1774422773.5603635,23
1774422773.5743067,22
1774422773.5910273,22
1774422773.6076267,21
1774422773.6261146,21
1774422773.6524308,20
1774422773.6645317,20
1774422773.680956,19
1774422773.6984673,19
1774422773.7142303,20
1774422773.725009,25
1774422773.7420094,32
1774422773.762303,41
1774422773.7786918,52
1774422773.7962942,63
1774422773.8095376,72
1774422773.824333,78
1774422773.84194,80
1774422773.8603845,80
1774422773.8769011,77
1774422773.8915403,74
1774422773.90866,71
1774422773.9246113,68
1774422773.9422867,65
1774422773.957283,63
1774422773.9755204,60
1774422773.9957104,57
1774422774.0073004,54
1774422774.0243206,52
1774422774.044244,49
1774422774.0634708,48
1774422774.076714,47
1774422774.0931175,46
1774422774.1093624,45
1774422774.1283514,44
1774422774.147411,42
1774422774.1586401,41
1774422774.1750405,40
1774422774.1932368,38
1774422774.209411,36
1774422774.2254305,34
1774422774.2448425,32
1774422774.2575529,30
1774422774.2776084,29
1774422774.2909956,27
1774422774.3097913,26
1774422774.3287308,25
1774422774.3435702,24
1774422774.3637028,23
1774422774.37417,23
1774422774.3907268,22
1774422774.4076147,21
1774422774.425903,21
1774422774.4448097,20
1774422774.4618433,20
1774422774.4743898,19
1774422774.4940555,19
1774422774.5101645,18
1774422774.5263646,18
1774422774.542106,21
1774422774.5581028,28
1774422774.574259,37
1774422774.591112,46
1774422774.6074808,58
1774422774.6243572,68
1774422774.6411736,76
1774422774.6615696,80
1774422774.6745014,81
1774422774.696576,79
1774422774.7103224,77
1774422774.7250118,74
1774422774.7423472,71
1774422774.7609372,69
1774422774.774288,66
1774422774.7929585,64
1774422774.807244,61
1774422774.8247397,58
1774422774.8407059,55
1774422774.86169,52
1774422774.8801503,50
1774422774.893489,48
1774422774.9136941,47
1774422774.9266758,45
1774422774.9433403,44
1774422774.9604554,43
1774422774.9759371,42
1774422774.9996595,40
1774422775.0134504,39
1774422775.024397,37
1774422775.0435343,35
1774422775.0576599,33
1774422775.0788538,31
1774422775.094728,29
1774422775.110913,28
1774422775.1266751,27
1774422775.1416829,26
1774422775.1598227,25
1774422775.174163,24
1774422775.1919832,23
1774422775.2073314,22
1774422775.2282796,22
1774422775.2406723,21
1774422775.2599282,21
1774422775.2760532,20
1774422775.297367,20
1774422775.3079796,19
1774422775.3284037,19
1774422775.3436308,18
1774422775.357933,18
1774422775.381782,20
1774422775.3922057,25
1774422775.4127674,33
1774422775.4263797,43
1774422775.4445508,54
1774422775.4579747,65
1774422775.4751194,74
1774422775.4996061,78
1774422775.508818,80
1774422775.5251021,79
1774422775.5406325,77
1774422775.5584242,74
1774422775.5742254,71
1774422775.59075,69
1774422775.6072335,66
1774422775.6261494,64
1774422775.6527576,61
1774422775.6639376,58
1774422775.6747549,55
1774422775.6928694,52
1774422775.7089496,50
1774422775.7248514,48
1774422775.7415771,46
1774422775.760739,45
1774422775.7803614,44
1774422775.794966,43
1774422775.8117027,42
1774422775.824298,40
1774422775.8435507,39
1774422775.8585274,37
1774422775.877257,35
1774422775.893024,33
1774422775.9077168,31
1774422775.9240766,29
1774422775.9442105,28
1774422775.9632251,26
1774422775.9744542,25
1774422775.993714,24
1774422776.0072126,23
1774422776.0290146,22
1774422776.0465252,22
1774422776.058743,21
1774422776.0738673,20
1774422776.0954316,20
1774422776.1074634,19
1774422776.1242497,19
1774422776.1447027,19
1774422776.1595955,18
1774422776.1767435,18
1774422776.1930256,17
1774422776.2085524,17
1774422776.2256138,17
1774422776.2441666,20
1774422776.2610393,26
1774422776.27492,35
1774422776.291242,45
1774422776.3101947,57
1774422776.3251884,68
1774422776.3423529,75
1774422776.357233,79
1774422776.3750975,80
1774422776.3913212,78
1774422776.4088414,75
1774422776.4276812,72
1774422776.4405007,69
1774422776.4589953,66
1774422776.47654,63
1774422776.4910827,60
1774422776.5097404,57
1774422776.5257654,55
1774422776.540924,52
1774422776.5578222,50
1774422776.5742536,48
1774422776.5910418,47
1774422776.607407,46
1774422776.624878,45
1774422776.6446495,44
1774422776.6578774,43
1774422776.6805506,41
1774422776.696484,40
1774422776.7100801,38
1774422776.7322612,36
1774422776.7419713,34
1774422776.7581906,32
1774422776.77496,30
1774422776.7951784,29
1774422776.8072371,27
1774422776.8248515,26
1774422776.8407319,25
1774422776.8574336,24
1774422776.874429,23
1774422776.8920434,22
1774422776.9085057,21
1774422776.925344,21
1774422776.9409587,20
1774422776.9576247,20
1774422776.974863,19
1774422776.990541,19
1774422777.007519,18
1774422777.0267138,18
1774422777.040989,17
1774422777.0592635,17
1774422777.0774097,18
1774422777.0958211,22
1774422777.1089835,29
1774422777.1263719,39
1774422777.1424117,49
